"run_id","sst","chl","elapsed_sec","biomass_Flagellates","biomass_Ciliates","biomass_Larvaceans","biomass_OmniCopepods","biomass_CarnCopepods","biomass_Euphausiids","biomass_Chaetognaths","biomass_Salps","biomass_Jellyfish","biomass_Fish_Small","biomass_Fish_Med","biomass_Fish_Large"
"sst15_chl0.05",15,0.05,129,0.0493212781953213,0.00552239149841495,0.0140998904532851,0.0109213434226409,0.0215785870348343,0.00574907157120091,0.00497383139258266,0.0356520266873349,0.000833440238679344,0.0189313098993938,0.026583201627437,0.0727105378111485
"sst15_chl0.15",15,0.15,129.8,0.129880521487869,0.00619624860124775,0.0707188036083607,0.240834843790848,0.0177737471118924,0.12915907681767,0.0122995009869782,0.0169728042253827,0.000500843713970792,0.266575259388394,0.290937310050455,0.599208027295819
"sst15_chl0.5",15,0.5,124,0.280206812449179,0.00484254076962413,0.038329634506439,1.59779341366726,0.0295436111916552,0.379324043001019,0.0138928679966109,0.0174981022275011,0.000518700498461811,0.564162061225683,1.00843921412834,3.39618322805035
"sst15_chl1.5",15,1.5,121.1,0.62365303934545,0.0135801421200198,0.00160774767011562,3.24102996349679,3.23634751721589,0.466161559733591,0.43015076566792,0.00429965529462849,1.66059384882986,306.616926555143,14989.475769263,25199525.0375234
"sst15_chl5",15,5,121.5,0.441481384609275,0.00371163952651516,0.0116406572102752,1.55436382860526,0.0725076037079483,2.29410792248096,0.045182152348424,0.0126844515599986,0.00233459652293146,1.34318108949624,2.31034016160295,4.7459181439637
"sst20_chl0.05",20,0.05,130.3,0.0516762965673099,0.00523431799570771,0.012891020207746,0.00858223856728544,0.0269146964296332,0.00318641095682739,0.00546345904879034,0.0230116101893295,0.0009413443228317,0.0253655982104349,0.0277887834647913,0.0736942027284797
"sst20_chl0.15",20,0.15,126.7,0.162506318327267,0.00657696279456964,0.0260288274570709,0.133106499619681,0.0744099660455272,0.0497125801835983,0.0142895141574559,0.032226384796472,0.00284479762929291,0.121941534780041,0.142084149849552,0.755842714457391
"sst20_chl0.5",20,0.5,130.3,0.29138275730069,0.004759908572035,0.0347626140244631,1.58165453077182,0.0314778656429005,0.360064997724132,0.0133040436189709,0.0167081707263173,0.000619885520452247,0.520509235007359,1.06650126049677,2.0907816897992
"sst20_chl1.5",20,1.5,130,0.44505472251655,0.00433431323089376,0.00738013516451663,1.85421964562667,0.0920203732471645,1.50133546500703,0.0391934011917261,0.0127993583526176,0.00154454112814961,1.01125816275713,2.00821932253498,4.5891412474861
"sst20_chl5",20,5,140,0.432563563795222,0.00425497746971318,0.00300748543443288,0.397269864925799,0.0440975084623276,15.9338165117144,0.0182164593336601,0.239678191417292,0.000582852503662862,0.283873586502756,4.66150275533152,10.6314980690176
"sst25_chl0.05",25,0.05,133,0.0540095244025741,0.00467202105985944,0.0121775540700495,0.00778380294243663,0.0268736347346257,0.00688182006794502,0.00999559311812825,0.00826136707771457,0.000252017382268063,0.0318159783935168,0.0336379163849596,0.0776207260508594
"sst25_chl0.15",25,0.15,114.5,0.153075503735966,0.00536539478630465,0.0320513905091359,0.169115391358351,0.0277026608691638,0.139010270296285,0.00833172750995491,0.0164352873204446,0.00104515562653438,0.125885924510429,0.343070512254308,0.736981326408854
"sst25_chl0.5",25,0.5,104.8,0.34747140939161,0.00541129937379576,0.0134158860634212,1.46106836866774,0.105246684061768,0.308895460971727,0.0237230967383386,0.0136496957181114,0.000601373393925234,0.609488544163729,0.918360400218962,1.79627788995823
"sst25_chl1.5",25,1.5,114.7,0.662676494600107,0.036497085132048,0.0102797227178661,5.41724933077998,3.82881697156832,6.11891876779069,2.38954737868933,0.0268069340858574,0.447367511136627,86.5341103876317,956.316737183513,2088258.21911794
"sst25_chl5",25,5,126.2,0.625949759530564,0.0348986572677478,0.00560725096347174,4.91502956762364,3.39821885348715,7.54007460498601,2.39045681011778,0.0202090216642572,0.349226362005372,88.3015827249212,766.771273898992,2585117.39609238
"sst30_chl0.05",30,0.05,126.5,0.0542196577639147,0.00400050244206077,0.0128937153451881,0.0111495325602321,0.00882486734855665,0.0267020126189713,0.0300304474685975,0.0086662207851069,0.000286955286040803,0.0415520798266429,0.055671556913016,0.110844513542909
"sst30_chl0.15",30,0.15,127.8,0.183588179002972,0.00570563967997193,0.0153670605728098,0.0892379235339795,0.0846950928354964,0.0621582355686516,0.0116171661501917,0.0294809392099577,0.000598361988636303,0.0952916429834576,0.12733234424314,0.377957176741189
"sst30_chl0.5",30,0.5,120.8,0.42987208221273,0.0223525793330289,0.0317674648225991,2.67007597694969,0.695623849062448,0.557931004810611,0.461055581696713,0.0195711312247535,0.123607942912028,46.4461049269103,724.737035563192,444790.776565083
"sst30_chl1.5",30,1.5,127.7,0.581987928782181,0.082962499846454,0.0354069433501883,6.4987066846631,1.95975280299052,21.9907303995591,2.88012090788651,0.0717401678344022,2.07335029218386,139.03753874197,6143.59444885254,8148199.36548619
"sst30_chl5",30,5,133.9,0.542605401773284,0.0500052014353989,0.0169241949575545,5.75642733187371,1.74369244298887,30.2912707180547,3.91983180510994,0.0456431326301156,0.741738135516576,32.862046255041,2456.05656833483,1762945.48466021
